
#temps e^- Ar B C K L
0.0 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1.00 0.400000 0.640000 0.330000 0.390000 0.210000 0.210000
2.00 0.240000 0.690000 0.240000 0.380000 0.380000 0.380000
3.00 0.120000 0.730000 0.190000 0.350000 0.530000 0.530000
4.00 0.050000 0.790000 0.120000 0.300000 0.650000 0.650000
5.00 0.000000 0.820000 0.080000 0.280000 0.720000 0.720000
6.00 0.000000 0.850000 0.050000 0.250000 0.750000 0.750000
7.00 0.000000 0.850000 0.050000 0.250000 0.750000 0.750000
8.00 0.000000 0.870000 0.030000 0.230000 0.770000 0.770000
9.00 0.000000 0.870000 0.030000 0.230000 0.770000 0.770000
10.00 0.000000 0.870000 0.030000 0.230000 0.770000 0.770000
11.00 0.000000 0.870000 0.030000 0.230000 0.770000 0.770000
12.00 0.000000 0.880000 0.020000 0.220000 0.780000 0.780000
13.00 0.000000 0.890000 0.010000 0.210000 0.790000 0.790000
14.00 0.000000 0.890000 0.010000 0.210000 0.790000 0.790000
15.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
16.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
17.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
18.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
19.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
20.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
21.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
22.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
23.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
24.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
25.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
26.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
27.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
28.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
29.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
30.00 0.000000 0.900000 0.000000 0.200000 0.800000 0.800000
