#temps e^- Ar B C K L 
0.0 1.0 1.0 0.0 0.0 0.0 0.0 
1.0 0.4130207697550456 0.8793067932128906 0.09135659535725911 0.15002981821695963 0.43694941202799475 0.43694941202799475 
2.0 0.17371126222551406 0.7741429930235978 0.17680844725452957 0.2749055666982748 0.5513831710762112 0.5513831710762112 
3.0 0.07424079840624513 0.7848688288761815 0.15612928693373435 0.2741330553139028 0.6516261462798522 0.6516261462798522 
4.0 0.03138447200137941 0.8181056451457103 0.11941626408439099 0.24437244562418853 0.7242430823744321 0.7242430823744321 
5.0 0.013073467741337278 0.8485090368572894 0.08791675817671944 0.21506516810870177 0.771861364149961 0.771861364149961 
6.0 0.005378689693421373 0.8719289489126254 0.0641641582841072 0.19197794389064193 0.8026433664159368 0.8026433664159368 
7.0 0.002192338398200542 0.8890714859541934 0.0469221433092001 0.1749348847824131 0.8228727768193865 0.8228727768193865 
8.0 0.0008875567807498317 0.9014341580379405 0.03452985170604943 0.16260183221806948 0.8365106110011808 0.8365106110011808 
9.0 0.00035757483530399073 0.9103486850794772 0.025606495909612604 0.1536961339314331 0.8459462912332631 0.8459462912332631 
10.0 0.00014355182053264133 0.9168180484470071 0.01913449169172863 0.14722941141425738 0.8526270367652101 0.8526270367652101 
11.0 5.7482758491363836e-05 0.9215549563615889 0.014396790435077763 0.1424932968417444 0.8574492203997643 0.8574492203997643 
12.0 2.2974645357533036e-05 0.9250558216623143 0.010895685788007831 0.1389926708873636 0.8609843544672788 0.8609843544672788 
13.0 9.169668215587497e-06 0.9276656647364095 0.008285770229038699 0.13638290029814207 0.8636079300336423 0.8636079300336423 
14.0 3.6559895040962596e-06 0.9296259654242552 0.006325447518628524 0.13442262163286084 0.8655737223776351 0.8655737223776351 
15.0 1.4565141911201314e-06 0.9311076694737661 0.004843736760486222 0.13294092429198157 0.8670576191938274 0.8670576191938274 
16.0 5.799169107732052e-07 0.9322333651885689 0.0037180389977409883 0.13181523062512113 0.8681841894579682 0.8681841894579682 
17.0 2.307915532744211e-07 0.933092092378919 0.0028593111811708854 0.13095650406099096 0.8690432651474559 0.8690432651474559 
18.0 9.181710947843753e-08 0.9337492825076333 0.0022021208607201827 0.13029931412401297 0.8697005940588778 0.8697005940588778 
19.0 3.651842746232954e-08 0.9342535085632425 0.0016978947463451473 0.1297950881271696 0.870204875354403 0.870204875354403 
20.0 1.4521517834733315e-08 0.9346411373528524 0.001310265938709781 0.12940745935558545 0.8705925261228968 0.8705925261228968 
21.0 5.77356248157756e-09 0.9349395879404577 0.001011815345571987 0.12910900877351264 0.870890985452925 0.870890985452925 
22.0 2.295214488970314e-09 0.9351696500877399 0.0007817531965909858 0.12887894662792937 0.8711210510768563 0.8711210510768563 
23.0 9.123515932326691e-10 0.9353471580667538 0.0006042452170552484 0.12870143864943734 0.8712985604382112 0.8712985604382112 
24.0 3.626352136816872e-10 0.935484214751854 0.00046718853179483213 0.12856438196449765 0.8714356176728673 0.8714356176728673 
25.0 1.4412973980990467e-10 0.9355900967599053 0.0003613065236942132 0.12845849995649558 0.8715414998993749 0.8715414998993749 
26.0 5.728205650408639e-11 0.9356719299513099 0.0002794733322745983 0.12837666676510626 0.8716233331776119 0.8716233331776119 
27.0 2.2765080972595926e-11 0.9357351973848761 0.00021620589870369997 0.12831339933154468 0.8716866006456904 0.8716866006456904 
28.0 9.047084831657247e-12 0.9357841236306215 0.00016727965295698709 0.12826447308580086 0.8717355269051522 0.8717355269051522 
29.0 3.5953362551767832e-12 0.9358219669654444 0.0001294363181336127 0.12822662975097837 0.8717733702454264 0.8717733702454264 
